Tissue	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Genitourinary	Primary_W_Metastasis	EP300	TSG	0.0246252676659529	0.104925053533191	0.0331905781584582	193	5	1570	42	62	2
Genitourinary	Primary_W_Metastasis	FAT1	TSG	0.0165952890792291	0.140792291220557	0.0176659528907923	259	6	1547	27	34	1
Genitourinary	Primary_W_Metastasis	FBXW7	TSG	0.0240899357601713	0.127408993576017	0.0165952890792291	232	8	1562	39	32	1
Genitourinary	Metastasis	FGFR3	OG	0.0325850832729906	0.181752353367125	0.0738595220854453	251	2	996	34	92	12
Genitourinary	Primary_W_Metastasis	FGFR3	OG	0.0701284796573876	0.11134903640257	0.0706638115631692	203	7	1436	94	101	33
Genitourinary	Metastasis	FOXA1	DFG	0.0637219406227371	0.0999275887038378	0.105720492396814	136	4	1028	71	132	16
Genitourinary	Primary_WO_Metastasis	FOXP1	DFG	0.0112676056338028	0.104225352112676	0.0492957746478873	75	1	595	8	35	2
Genitourinary	Primary_W_Metastasis	FOXP1	DFG	0.0133832976445396	0.146680942184154	0.0669164882226981	273	3	1448	23	125	2
Genitourinary	Metastasis	HRAS	OG	0.0152063721940623	0.137581462708182	0.0405503258508327	190	2	1119	18	54	4
Genitourinary	Primary_W_Metastasis	HRAS	OG	0.0139186295503212	0.135438972162741	0.0187366167023555	253	2	1559	23	33	4
Genitourinary	Metastasis	JAK1	DFG	0.0195510499637944	0.113685734974656	0.0434467776973208	150	9	1147	19	60	2
Genitourinary	Metastasis	KDM5C	TSG	0.0166545981173063	0.0673425054308472	0.164373642288197	94	1	1040	23	227	2
Genitourinary	Metastasis	KDM6A	TSG	0.0514120202751629	0.0673425054308472	0.181752353367125	86	9	982	57	245	8
Genitourinary	Primary_W_Metastasis	KMT2A	TSG	0.021948608137045	0.152569593147752	0.0240899357601713	284	3	1501	39	45	2
Genitourinary	Metastasis	KMT2A	TSG	0.0209992758870384	0.170166545981173	0.055032585083273	234	3	1046	26	75	3
Genitourinary	Primary_W_Metastasis	KMT2C	TSG	0.0455032119914347	0.0572805139186296	0.148286937901499	102	7	1422	64	262	17
Genitourinary	Metastasis	KMT2C	TSG	0.0427226647356988	0.0796524257784214	0.187545257060101	107	5	973	41	245	16
Genitourinary	Metastasis	KMT2D	TSG	0.0608254887762491	0.0412744388124547	0.112237509051412	55	4	1096	75	149	8
Genitourinary	Primary_W_Metastasis	KRAS	OG	0.0224839400428266	0.0578158458244111	0.122055674518201	109	1	1506	28	214	16
Genitourinary	Metastasis	KRAS	OG	0.0181028240405503	0.104996379435192	0.158580738595221	146	1	1004	15	209	12
Genitourinary	Metastasis	MTOR	OG	0.0115858073859522	0.175959449674149	0.0434467776973208	242	3	1065	15	61	1
Genitourinary	Primary_WO_Metastasis	NCOR1	TSG	0.0197183098591549	0.122535211267606	0.0225352112676056	87	2	595	14	17	1
Genitourinary	Metastasis	NCOR1	TSG	0.0130340333091962	0.209992758870384	0.0608254887762491	285	7	997	12	84	2
Genitourinary	Primary_W_Metastasis	NCOR1	TSG	0.0187366167023555	0.185224839400428	0.0273019271948608	336	12	1449	24	51	2
Genitourinary	Primary_W_Metastasis	NSD1	DFG	0.0107066381156317	0.118843683083512	0.0765524625267666	220	4	1487	18	144	1
Genitourinary	Primary_W_Metastasis	PBRM1	TSG	0.0513918629550321	0.140256959314775	0.0620985010706638	203	61	1455	37	117	1
Genitourinary	Metastasis	PBRM1	TSG	0.0463432295438088	0.132512671976828	0.109341057204924	157	28	1011	38	152	1
Genitourinary	Primary_W_Metastasis	PIK3CA	OG	0.0792291220556745	0.015524625267666	0.133297644539615	28	3	1474	118	221	30
Genitourinary	Metastasis	PIK3CA	OG	0.0615496017378711	0.0304127443881245	0.228819695872556	42	2	954	71	303	15
Genitourinary	Primary_W_Metastasis	PIK3R1	TSG	0.0107066381156317	0.186295503211991	0.028372591006424	345	5	1453	16	53	2
Genitourinary	Metastasis	PIK3R1	TSG	0.0217233888486604	0.224475018102824	0.0347574221578566	305	7	1001	24	48	2
Genitourinary	Primary_W_Metastasis	PTEN	TSG	0.0524625267665953	0.135438972162741	0.0224839400428266	227	28	1504	71	42	2
Genitourinary	Metastasis	PTEN	TSG	0.0687907313540912	0.196958725561188	0.0362056480811007	240	34	1001	60	48	4
Genitourinary	Primary_WO_Metastasis	PTEN	TSG	0.0380281690140845	0.105633802816901	0.0126760563380282	69	8	607	21	10	1
Genitourinary	Primary_W_Metastasis	RB1	TSG	0.0594218415417559	0.233940042826552	0.0203426124197002	393	46	1336	59	31	9
Genitourinary	Primary_WO_Metastasis	RB1	TSG	0.0450704225352113	0.205633802816901	0.0211267605633803	130	18	536	15	15	2
Genitourinary	Metastasis	RB1	TSG	0.0419985517740768	0.380883417813179	0.0166545981173063	500	28	802	32	24	1
Genitourinary	Metastasis	RNF43	TSG	0.0108616944243302	0.0311368573497466	0.165821868211441	43	2	1100	11	226	5
Genitourinary	Primary_W_Metastasis	RNF43	TSG	0.0117773019271949	0.0235546038543897	0.100107066381156	45	1	1617	22	187	2
Genitourinary	Metastasis	SETD2	TSG	0.0398262128892107	0.120202751629254	0.114409847936278	149	19	1023	36	157	3
Genitourinary	Primary_W_Metastasis	SETD2	TSG	0.0305139186295503	0.137044967880086	0.0594218415417559	229	29	1473	30	112	1
