Gene	Function
ETV6	TSG
FANCA	TSG
FANCC	TSG
FGFR1	OG
FGFR4	OG
FLCN	TSG
FUBP1	TSG
GATA2	OG
H3-3A	OG
IRF4	OG
JUN	OG
KDM5A	OG
KDR	OG
KEAP1	TSG
KMT2A	TSG
KMT2C	TSG
MAP2K2	OG
MAP2K4	TSG
MAPK1	OG
MDM2	OG
MDM4	OG
MITF	DFG
MTOR	OG
MUTYH	TSG
MYC	OG
MYCL	OG
MYCN	OG
NKX2-1	OG
NSD2	OG
NTRK1	OG
NTRK3	OG
PALB2	TSG
PDCD1LG2	OG
PDGFRB	OG
PHF6	TSG
RAD21	TSG
RAF1	OG
ROS1	OG
RUNX1	TSG
SDHA	TSG
SDHB	TSG
SDHC	TSG
SDHD	TSG
SOX2	OG
SPEN	TSG
SRC	OG
STAT3	OG
SUFU	TSG
SYK	OG
TENT5C	TSG
TGFBR2	TSG
TNFRSF14	TSG
TSC2	TSG
TSHR	OG
XPO1	OG
AKT3	OG
ARAF	OG
ARID1B	TSG
AURKA	OG
AURKB	OG
AXL	OG
BCL10	TSG
BCORL1	TSG
BCR	OG
BLM	TSG
BTG1	TSG
CDK8	OG
CDKN2B	TSG
CHEK1	TSG
CRKL	OG
CYLD	TSG
DOT1L	OG
EED	TSG
EIF4A2	OG
EPHA3	TSG
EPHB1	TSG
ERCC4	TSG
ETV1	OG
FAS	TSG
FGF19	OG
FGF3	OG
FGF4	OG
FH	TSG
FLT1	OG
FLT4	OG
FOXO1	TSG
FOXP1	DFG
GRIN2A	TSG
GSK3B	OG
HGF	OG
ID3	TSG
IGF1R	OG
IKBKE	OG
IL7R	OG
INPP4B	TSG
IRS2	OG
KLF4	DFG
LMO1	OG
MAP3K13	OG
MCL1	OG
MEF2B	OG
MRE11	TSG
MSH3	TSG
MSI2	OG
NBN	TSG
NCOR1	TSG
NFKBIA	TSG
NSD1	DFG
NT5C2	OG
NTRK2	OG
P2RY8	TSG
PDCD1	OG
PIK3CB	OG
PMS2	TSG
POLD1	TSG
POLE	TSG
POT1	TSG
PPARG	OG
RAC1	OG
RAD51	TSG
RAD51B	TSG
RBM10	TSG
REL	OG
RHOA	OG
RICTOR	OG
RPTOR	OG
SETBP1	OG
SOX9	DFG
STAT5B	OG
SUZ12	TSG
TBX3	TSG
TCF3	TSG
TERT	OG
TET1	TSG
TOP1	TSG
TP63	DFG
ACVR1	OG
ALOX12B	DFG
AXIN2	TSG
BCL11B	TSG
BMPR1A	TSG
CDKN1A	TSG
CIITA	TSG
CUL3	TSG
CUX1	TSG
DDX3X	TSG
DICER1	TSG
DIS3	TSG
DNMT1	OG
EPHA7	DFG
ERCC2	TSG
ERCC3	TSG
ERCC5	TSG
ERRFI1	TSG
ETV4	OG
ETV5	OG
EWSR1	OG
FANCD2	TSG
FAT1	TSG
FBXO11	TSG
FOXA1	DFG
GLI1	OG
GNA13	OG
HDAC1	OG
HLA-A	TSG
INHBA	DFG
LATS1	TSG
LATS2	TSG
LYN	OG
MAP3K14	OG
MAX	TSG
MST1R	OG
MYOD1	TSG
NOTCH3	DFG
PARP1	TSG
PHOX2B	TSG
PIK3CG	OG
PIK3R2	TSG
PLCG2	OG
PPM1D	OG
PPP6C	TSG
PRKCI	OG
PRKN	TSG
PTPRT	TSG
RAD50	TSG
RAD51C	TSG
RAD51D	TSG
RECQL4	TSG
RUNX1T1	OG
SDHAF2	TSG
SGK1	OG
SH2B3	TSG
SMAD3	TSG
STAT5A	OG
STAT6	OG
TBL1XR1	TSG
TCF7L2	TSG
TMEM127	TSG
VEGFA	OG
WWTR1	OG
XRCC2	TSG
ZFHX3	TSG
ABL2	OG
ABRAXAS1	TSG
ANKRD11	TSG
ARID5B	TSG
ASXL2	TSG
ATF1	OG
BBC3	TSG
BCL2L11	TSG
BCL9	OG
CCNQ	TSG
CD276	OG
CD58	TSG
CDC42	OG
COP1	OG
CTLA4	OG
CYSLTR2	OG
DCUN1D1	OG
DEK	OG
DNMT3B	TSG
DTX1	TSG
DUSP22	TSG
DUSP4	TSG
E2F3	OG
EGFL7	OG
EIF4E	OG
ELF3	DFG
EPCAM	TSG
ERF	TSG
EZH1	OG
FANCL	TSG
FLI1	OG
FYN	OG
GNA12	OG
GNB1	OG
GPS2	TSG
GREM1	OG
H1-3	TSG
H1-4	OG
H2AC17	OG
HDAC4	DFG
HDAC7	OG
HIF1A	OG
HLA-B	TSG
