Tissue	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Core-GI	Metastasis	EP300	TSG	0.0114090131203651	0.252709640616087	0.0193953223046207	441	4	1262	16	33	3
Core-GI	Metastasis	FAT1	TSG	0.0114090131203651	0.317170564746149	0.0211066742726754	552	6	1146	16	38	1
Core-GI	Metastasis	FBXW7	TSG	0.0644609241300628	0.299486594409584	0.0250998288648032	498	29	1102	84	43	3
Core-GI	Metastasis	KMT2B	TSG	0.0125499144324016	0.0536223616657159	0.107244723331432	94	2	1453	20	187	3
Core-GI	Metastasis	KMT2C	TSG	0.0136908157444381	0.0410724472333143	0.217341699942955	72	2	1284	18	376	7
Core-GI	Metastasis	MAP2K4	TSG	0.0108385624643468	0.343981745579007	0.0136908157444381	599	6	1113	15	25	1
Core-GI	Metastasis	NCOR1	TSG	0.0125499144324016	0.327438676554478	0.0239589275527667	568	8	1123	16	43	1
Core-GI	Metastasis	PBRM1	TSG	0.0114090131203651	0.166001140901312	0.0279520821448945	286	7	1401	14	49	2
Core-GI	Metastasis	PIK3R1	TSG	0.0171135196805476	0.173416999429549	0.0427837992013691	300	6	1350	26	76	1
Core-GI	Metastasis	PTEN	TSG	0.0330861380490588	0.15687393040502	0.0216771249286937	257	20	1405	37	36	4
Core-GI	Metastasis	RB1	TSG	0.0119794637763833	0.0781517398745009	0.350256702795208	128	11	996	8	611	5
Core-GI	Metastasis	RNF43	TSG	0.0319452367370223	0.10781517398745	0.0815744438106104	179	12	1378	45	143	2
Core-GI	Metastasis	SETD2	TSG	0.0102681118083286	0.154592127780947	0.0273816314888762	265	8	1424	12	49	1
Core-GI	Metastasis	SMAD2	TSG	0.0136908157444381	0.468339988590987	0.0188248716486024	809	14	889	12	34	1
Core-GI	Metastasis	SMAD3	TSG	0.0148317170564746	0.207644038790645	0.0319452367370223	364	2	1310	25	56	2
Core-GI	Metastasis	SMAD4	TSG	0.0935539075869937	0.473474044495151	0.0176839703365659	733	99	827	67	32	1
Core-GI	Metastasis	TCF7L2	TSG	0.0444951511694238	0.140901312036509	0.0256702795208214	244	5	1389	74	45	2
Core-GI	Metastasis	TGFBR2	TSG	0.0148317170564746	0.221334854535083	0.0387906446092413	384	6	1277	22	69	1
Core-GI	Metastasis	TP53	TSG	0.656588705077011	0.325156873930405	0.0205362236166572	92	480	491	658	22	16
Core-GI	Metastasis	BRAF	OG	0.0530519110096977	0.0365088419851683	0.215059897318882	63	3	1255	59	345	34
Core-GI	Metastasis	CTNNB1	OG	0.0165430690245294	0.136908157444381	0.0279520821448945	239	3	1438	28	50	1
